pid,station_name,station_lat,station_lng,flows_in,flows_out,flows_all
324,California Ave & North Ave,41.91044,-87.6972,954,821,1775
325,Humboldt Blvd & Armitage Ave,41.91751339,-87.70180896,1300,1241,2541
326,Halsted St & 56th St,41.79292965,-87.64499006,29,37,66
327,Damen Ave & 59th St,41.78586107,-87.67414391,6,6,12
328,Budlong Woods Library,41.98366471,-87.69642256,117,96,213
329,Francisco Ave & Foster Ave,41.97566833,-87.70141617,470,437,907
330,Lincoln Ave & Winona St,41.9749113,-87.69250256,497,562,1059
331,Ashland Ave & 63rd St,41.7793725,-87.6649875,24,24,48
332,Ashland Ave & 66th St,41.77411467,-87.66376733,6,7,13
333,Racine Ave & 65th St,41.775393,-87.654308,7,10,17
334,Clark St & North Ave,41.911974,-87.631942,3310,3201,6511
335,Wells St & Concord Ln,41.912133,-87.634656,8516,8085,16601
336,Wells St & Evergreen Ave,41.906724,-87.63483,4649,4578,9227
337,Dearborn Pkwy & Delaware Pl,41.899134,-87.6298595,6141,6122,12263
338,Wells St & Elm St,41.903222,-87.634324,4911,4625,9536
339,Wells St & Walton St,41.89993001,-87.63443007,1661,2426,4087
340,Michigan Ave & Oak St,41.90096039,-87.62377664,7952,7639,15591
341,Mies van der Rohe Way & Chestnut St,41.89858665,-87.62191523,4231,4351,8582
342,State St & Pearson St,41.897448,-87.628722,3532,4094,7626
343,Ashland Ave & 13th St,41.86528417,-87.666564,1026,899,1925
344,Clark St & Wrightwood Ave,41.929546,-87.643118,5618,5526,11144
345,Lakeview Ave & Fullerton Pkwy,41.92594583,-87.63906,5048,4848,9896
346,Larrabee St & Webster Ave,41.921822,-87.64414,4571,4433,9004
347,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,3440,3387,6827
348,Sedgwick St & Webster Ave,41.922167,-87.638888,4221,4270,8491
349,Maplewood Ave & Peterson Ave,41.990236,-87.69337,120,134,254
350,Ashland Ave & Wellington Ave,41.936083,-87.669807,1427,1263,2690
351,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,1851,1858,3709
352,Greenview Ave & Diversey Pkwy,41.93258963,-87.66593635,1409,1338,2747
353,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,2862,2863,5725
354,Southport Ave & Belmont Ave,41.93947775,-87.66374767,1945,2053,3998
355,Southport Ave & Wellington Ave,41.93557517,-87.663731,4010,4007,8017
356,Southport Ave & Wrightwood Ave,41.928773,-87.663913,2333,2275,4608
357,Campbell Ave & North Ave,41.9105165,-87.68951667,1266,1238,2504
358,Milwaukee Ave & Rockwell St,41.92019556,-87.6926592,1135,971,2106
359,Stave St & Armitage Ave,41.91767067,-87.69153617,749,790,1539
360,Western Ave & Winnebago Ave,41.91552,-87.687022,2607,2702,5309
361,Campbell Ave & Fullerton Ave,41.92463247,-87.68930701,900,860,1760
362,Damen Ave & Charleston St,41.92010133,-87.67784333,1646,1638,3284
363,Leavitt St & Armitage Ave,41.917805,-87.682437,1390,1482,2872
364,Winchester Ave & Elston Ave,41.92409085,-87.67646007,1408,1269,2677
365,Damen Ave & Cortland St,41.915983,-87.677335,3086,3046,6132
366,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,3458,3318,6776
367,Walsh Park,41.91461,-87.667968,75,83,158
368,Leavitt St & North Ave,41.91016083,-87.68239917,1514,1487,3001
369,Spaulding Ave & Armitage Ave,41.9171195,-87.71024583,1190,1070,2260
370,Clark St & Berwyn Ave,41.97803567,-87.66807783,2830,2767,5597
371,Ashland Ave & Augusta Blvd,41.89966017,-87.66848083,2339,2194,4533
372,Ashland Ave & Blackhawk St,41.907066,-87.667252,2706,2661,5367
373,Ashland Ave & Chicago Ave,41.895966,-87.667747,2554,2504,5058
374,Ashland Ave & Division St,41.90350133,-87.66779133,6694,6817,13511
375,Damen Ave & Thomas St (Augusta Blvd),41.90135617,-87.6776705,2439,2394,4833
376,Honore St & Division St,41.90314433,-87.67384317,2693,2759,5452
377,Wood St & Augusta Blvd,41.899181,-87.6722,212,195,407
378,Wood St & Milwaukee Ave,41.907655,-87.672552,4011,3849,7860
379,Damen Ave & Chicago Ave,41.895769,-87.67722,4187,3609,7796
380,Damen Ave & Division St,41.903266,-87.678435,2549,2467,5016
381,Kedzie Ave & Bryn Mawr Ave,41.98239708,-87.70892252,181,127,308
382,Kedzie Ave & Foster Ave,41.97566317,-87.70923017,285,270,555
383,St. Louis Ave & Balmoral Ave,41.98039423,-87.71611496,232,222,454
384,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,294,322,616
385,Ashland Ave & Grace St,41.950687,-87.6687,1476,1505,2981
386,Clark St & Grace St,41.95078,-87.659172,2703,2734,5437
387,Clark St & Montrose Ave,41.961588,-87.666036,1544,1577,3121
388,Southport Ave & Clark St,41.957081,-87.664199,952,1029,1981
389,Southport Ave & Irving Park Rd,41.954177,-87.664358,1699,1722,3421
390,Marshfield Ave & 59th St,41.786833,-87.666215,8,8,16
391,Richmond St & Diversey Ave,41.93190197,-87.70119513,835,835,1670
392,Clark St & Bryn Mawr Ave,41.983593,-87.669154,1570,1506,3076
